N,Identifier,dist(asec),prob. member,link ref,Mag U,Mag B,Mag V,Mag R,"#ref 
1850 - 2019"
1465,[LL2014] 103,1473.84,75,2014ApJ...786..130L,,,,,7
1466,[LL2014] 103,1473.84,100,2012ApJ...761...26J,,,,,7
1928,[LL2014] 111,1623.91,75,2014ApJ...786..130L,,,,,14
1929,[LL2014] 111,1623.91,100,2009A&A...495..733S,,,,,14
1930,[LL2014] 111,1623.91,100,2012ApJ...761...26J,,,,,14
3234,[LL2014] 117,2088.73,75,2014ApJ...786..130L,,,,,7
2805,[LL2014] 118,1992.9,75,2014ApJ...786..130L,,,,,7
2792,[LL2014] 124,2070.91,75,2014ApJ...786..130L,,,21.42,,29
2793,[LL2014] 124,2070.91,100,2009A&A...495..733S,,,21.42,,29
2794,[LL2014] 124,2070.91,100,2012ApJ...761...26J,,,21.42,,29
3697,[LL2014] 126,2543.97,75,2014ApJ...786..130L,,,,,4
3552,[LL2014] 131,2442.05,75,2014ApJ...786..130L,,,,,9
3231,[LL2014] 133,2444.74,75,2014ApJ...786..130L,,,,,9
3232,[LL2014] 133,2444.74,100,2014ApJ...795..170J,,,,,9
3551,[LL2014] 137,2647.8,75,2014ApJ...786..130L,,,,,5
3408,[LL2014] 145,3945.25,75,2014ApJ...786..130L,,,,,8
3700,[LL2014] 147,3282.48,75,2014ApJ...786..130L,,,,,4
3412,[LL2014] 148,3567.11,75,2014ApJ...786..130L,,,,,8
3413,[LL2014] 148,3567.11,100,2012ApJ...761...26J,,,,,8
3365,[LL2014] 150,4172.92,75,2014ApJ...786..130L,,,,,7
244,[LL2014] 16,2853.3,75,2014ApJ...786..130L,,,,,5
2596,[LL2014] 34,950.92,75,2014ApJ...786..130L,,,,,24
2597,[LL2014] 34,950.92,100,2008A&A...480..599S,,,,,24
2598,[LL2014] 34,950.92,100,2009A&A...495..733S,,,,,24
2599,[LL2014] 34,950.92,100,2012ApJ...761...26J,,,,,24
2600,[LL2014] 34,950.92,100,2012MNRAS.427.1463Z,,,,,24
1428,[LL2014] 49,1067.81,75,2014ApJ...786..130L,,,,,6
2358,[LL2014] 76,817.89,75,2014ApJ...786..130L,,,,,12
2359,[LL2014] 76,817.89,100,2008A&A...480..599S,,,,,12
2360,[LL2014] 76,817.89,100,2014ApJ...795..170J,,,,,12
3032,[LL2014] 79,2026.03,75,2014ApJ...786..130L,,,,,5
218,[LL2014] 80,849.08,75,2014ApJ...786..130L,,,,,23
219,[LL2014] 80,849.08,100,2008A&A...480..599S,,,,,23
220,[LL2014] 80,849.08,100,2014ApJ...795..170J,,,,,23
1433,[LL2014] 82,914.88,75,2014ApJ...786..130L,,,22.33,,10
3153,[LL2014] 86,2288.96,75,2014ApJ...786..130L,,,,,5
1434,[LL2014] 87,1028.98,75,2014ApJ...786..130L,,,,,11
1435,[LL2014] 87,1028.98,100,2014ApJ...795..170J,,,,,11
1439,[LL2014] 92,1256.04,75,2014ApJ...786..130L,,,,,7
1440,[LL2014] 92,1256.04,100,2014ApJ...795..170J,,,,,7
1509,[LL2014] 99,1376.29,75,2014ApJ...786..130L,,,,,8
1510,[LL2014] 99,1376.29,100,2012ApJ...761...26J,,,,,8
5307,[M67] N 1,627.32,90,2004yCat.2250....0S,,17.2,17.2,,5
3769,[M67] N 2,164.86,90,2004yCat.2250....0S,,,16.7,,6
1314,[M67] N 3,1820.02,90,2004yCat.2250....0S,,,18,,3
2242,[M93b] 317,993.27,50,2007AJ....134..706K,,,,,10
2243,[M93b] 317,993.27,60,2008A&A...480..599S,,,,,10
3459,[M98a] M 31ob102-248,4152.73,100,2006AJ....131.2478M,21.268,20.911,19.369,18.527,2
3472,[M98a] M 31ob102-344,4181.2,100,2006AJ....131.2478M,,21.406,19.332,18.169,4
3473,[M98a] M 31ob102-344,4181.2,100,2009ApJ...703..420M,,21.406,19.332,18.169,4
3331,[M98a] M 31ob48-120,2229.76,100,2006AJ....131.2478M,,21.683,19.438,18.171,6
3332,[M98a] M 31ob48-120,2229.76,100,2009ApJ...703..420M,,21.683,19.438,18.171,6
3462,[M98a] M 31ob48-190,2306.5,100,2006AJ....131.2478M,21.622,21.601,19.891,18.757,2
3298,[M98a] M 31ob48-338,2169.88,100,2006AJ....131.2478M,,21.316,19.633,18.558,5
2890,[M98a] M 31ob48-639,2183.29,100,2006AJ....131.2478M,,21.591,19.898,18.866,2
1989,[M98a] M 31ob69-99,1426.17,100,2006AJ....131.2478M,,21.637,19.719,18.651,4
1990,[M98a] M 31ob69-99,1426.17,100,2009ApJ...703..420M,,21.637,19.719,18.651,4
2000,[M98a] M 31ob78-1046,2536.4,100,2009ApJ...703..420M,,22.099,19.981,18.911,4
2011,[M98a] M 31ob78-250,2367.77,75,2009ApJ...703..420M,,21.749,19.865,18.703,3
1984,[M98a] M 31ob78-263,2315.89,0,2009ApJ...703..441D,,16.91,15.69,,2
1998,[M98a] M 31ob78-300,2354.91,100,2006AJ....131.2478M,22.303,21.631,19.377,17.862,5
1999,[M98a] M 31ob78-300,2354.91,100,2009ApJ...703..420M,22.303,21.631,19.377,17.862,5
1994,[M98a] M 31ob78-372,2633.21,100,2009ApJ...703..420M,,21.907,19.869,18.612,4
1996,[M98a] M 31ob78-542,2548.31,90,2004yCat.2250....0S,,21.78,21.6,,4
1759,[M98a] M 31ob78-719,2405.12,0,2009ApJ...703..441D,,17.88,16.56,,3
2009,[M98a] M 31ob78-819,2505.07,75,2009ApJ...703..420M,,21.903,19.778,18.755,4
2007,[M98a] M 31ob78-89,2488.56,100,2006AJ....131.2478M,23.379,21.274,19.206,18.004,5
2008,[M98a] M 31ob78-89,2488.56,100,2009ApJ...703..420M,23.379,21.274,19.206,18.004,5
1997,[M98a] M 31ob8-43,1489.49,100,2006AJ....131.2478M,,21.804,20.052,19.036,2
2090,[MAP97] 84,1316.39,100,2015MNRAS.451..724W,,,19.72,,6
2091,[MAP97] 84,1316.39,100,2016ApJ...826...56R,,,19.72,,6
3293,[MAP97] 130,3070.05,100,2016ApJ...826...56R,,,20.26,,4
7507,[MLV92] 947,5015.41,0,2009ApJ...703..441D,,15.513,14.518,,1
8083,[MLV92] 1172,4638.6,0,2009ApJ...703..441D,,15.88,15.254,,1
7929,[MLV92] 1818,4666.28,0,2009ApJ...703..441D,,14.83,14.4,,1
8036,[MLV92] 3945,4480.36,0,2009ApJ...703..441D,,15.946,15.25,,1
7534,[MLV92] 4979,4764.67,0,2009ApJ...703..441D,,15.863,15.18,,1
7747,[MLV92] 5014,4599.22,0,2009ApJ...703..441D,,16.298,15.639,,1
7766,[MLV92] 6581,4511.05,0,2009ApJ...703..441D,,16.61,15.794,,1
7839,[MLV92] 7201,4426.71,0,2009ApJ...703..441D,,15.46,14.966,,1
7713,[MLV92] 7483,4498.24,0,2009ApJ...703..441D,,15.395,14.935,,1
7522,[MLV92] 7590,4657.54,0,2009ApJ...703..441D,,15.762,15.058,,1
8421,[MLV92] 7779,4039.76,0,2009ApJ...703..441D,,14.454,14.072,,1
7642,[MLV92] 8024,4523.48,0,2009ApJ...703..441D,,15.998,15.375,,1
8261,[MLV92] 8112,4126.8,0,2009ApJ...703..441D,,15.61,15.19,,1
8146,[MLV92] 8140,4211.06,0,2009ApJ...703..441D,,14.715,14.394,,1
7460,[MLV92] 8366,4678.32,0,2009ApJ...703..441D,,15.37,14.815,,1
8447,[MLV92] 8568,3984.58,0,2009ApJ...703..441D,,14.079,13.734,,1
8357,[MLV92] 9004,4007.52,0,2009ApJ...703..441D,,15.624,15.274,,1
7736,[MLV92] 9204,4400.47,0,2009ApJ...703..441D,,14.43,13.741,,1
8467,[MLV92] 9552,3923.56,0,2009ApJ...703..441D,,15.57,14.905,,1
8259,[MLV92] 9650,4051.67,0,2009ApJ...703..441D,,15.54,15.13,,1
8064,[MLV92] 9806,4179.42,0,2009ApJ...703..441D,,15,14.78,,1
8332,[MLV92] 10877,3954.82,0,2009ApJ...703..441D,,15.21,14.48,,1
7557,[MLV92] 11653,4478.8,0,2009ApJ...703..441D,,14.03,13.84,,1
7705,[MLV92] 12467,4325.98,0,2009ApJ...703..441D,,16.77,15.62,,1
8096,[MLV92] 12686,4082.36,0,2009ApJ...703..441D,,14.99,14.65,,1
8448,[MLV92] 13181,3819.88,0,2009ApJ...703..441D,,15.71,15.306,,1
8198,[MLV92] 13212,3997.99,0,2009ApJ...703..441D,,13.62,13.3,,1
7688,[MLV92] 13236,4317.61,0,2009ApJ...703..441D,,14.98,14.05,,1
7614,[MLV92] 13604,4367.05,0,2009ApJ...703..441D,,15.46,15.041,,1
8348,[MLV92] 13816,3855.84,0,2009ApJ...703..441D,,16.15,15.081,,1
7287,[MLV92] 13977,4719.53,0,2009ApJ...703..441D,,14.376,13.611,,1
8183,[MLV92] 14018,3978.31,0,2009ApJ...703..441D,,15.094,14.706,,1
7605,[MLV92] 14568,4347.97,0,2009ApJ...703..441D,,15.46,14.885,,1
7439,[MLV92] 14682,4514.57,0,2009ApJ...703..441D,,15.399,14.889,,1
8374,[MLV92] 15261,3785.39,0,2009ApJ...703..441D,,15.475,14.589,,1
7559,[MLV92] 15755,4358.8,0,2009ApJ...703..441D,,14.731,14.19,,1
8773,[MLV92] 18398,3514.07,0,2009ApJ...703..441D,,14.699,14.434,,1
8805,[MLV92] 18844,3499.75,0,2009ApJ...703..441D,,15.277,14.843,,1
8231,[MLV92] 19415,3785.86,0,2009ApJ...703..441D,,15.43,15.139,,1
8298,[MLV92] 21302,3697.22,0,2009ApJ...703..441D,,15.07,13.85,,1
7300,[MLV92] 25951,4452.93,0,2009ApJ...703..441D,,15.95,15.154,,1
7301,[MLV92] 26816,4436.13,0,2009ApJ...703..441D,,15.02,14.311,,1
7661,[MLV92] 28475,3985.66,0,2009ApJ...703..441D,,15.53,15,,1
7681,[MLV92] 29080,3958.64,0,2009ApJ...703..441D,,15.259,14.3,,1
8856,[MLV92] 29368,3227.4,0,2009ApJ...703..441D,,15.728,15.362,,1
7162,[MLV92] 29595,4570.97,0,2009ApJ...703..441D,,15.861,15.362,,1
7339,[MLV92] 29753,4330,0,2009ApJ...703..441D,,13.954,13.459,,1
8318,[MLV92] 30085,3459.87,0,2009ApJ...703..441D,,15.67,14.84,,1
7386,[MLV92] 30304,4259.34,0,2009ApJ...703..441D,,14.89,14.62,,1
7443,[MLV92] 32397,4138.96,0,2009ApJ...703..441D,,14.62,14.11,,1
7820,[MLV92] 33538,3759.49,0,2009ApJ...703..441D,,15.17,14.69,,1
8482,[MLV92] 33823,3266.88,0,2009ApJ...703..441D,,15.3,14.73,,1
7185,[MLV92] 34506,4440.88,0,2009ApJ...703..441D,,15.717,14.748,,1
7444,[MLV92] 36118,4065.53,0,2009ApJ...703..441D,,15.19,14.727,,1
8843,[MLV92] 37536,3008.12,0,2009ApJ...703..441D,,16.193,15.869,,1
8738,[MLV92] 38778,2995.81,0,2009ApJ...703..441D,,16.219,15.405,,1
8722,[MLV92] 44927,2855.84,0,2009ApJ...703..441D,,16.437,15.884,,1
8088,[MLV92] 51759,3200.65,0,2009ApJ...703..441D,,14.093,13.669,13.362,1
9543,[MLV92] 62024,2645.81,100,2006AJ....131.2478M,16.879,17.647,17.626,17.558,2
7417,[MLV92] 64562,3689.16,0,2009ApJ...703..441D,,14.272,13.37,,1
8291,[MLV92] 75357,2675.23,0,2009ApJ...703..441D,,16.208,15.328,14.79,1
7635,[MLV92] 79106,3233.27,0,2009ApJ...703..441D,,15.61,14.92,,1
8352,[MLV92] 82524,2492.53,0,2009ApJ...703..441D,,15.39,14.85,14.44,1
8280,[MLV92] 85475,2550.31,0,2009ApJ...703..441D,,16.46,15.542,15,1
8149,[MLV92] 87086,2679.93,0,2009ApJ...703..441D,,15.233,14.643,14.278,1
8185,[MLV92] 108333,2409,0,2009ApJ...703..441D,,14.989,14.215,13.748,1
7730,[MLV92] 120144,2696.56,0,2009ApJ...703..441D,,15.38,14.85,,1
8037,[MLV92] 122875,2349.47,0,2009ApJ...703..441D,,15.26,14.43,,1
8727,[MLV92] 130544,1420.1,0,2009ApJ...703..441D,,16.75,15.89,15.419,1
8160,[MLV92] 130752,2124.02,0,2009ApJ...703..441D,,16.12,15.37,,1
6959,[MLV92] 141838,1858.41,100,2006AJ....131.2478M,16.424,17.362,17.329,17.231,2
7896,[MLV92] 143683,2264.61,0,2009ApJ...703..441D,,16.421,15.541,,1
8234,[MLV92] 143708,1848.57,0,2009ApJ...703..441D,,15.53,15.089,14.706,1
8056,[MLV92] 144535,2093.15,0,2009ApJ...703..441D,,15.79,15.15,,1
6552,[MLV92] 165175,1407.89,0,2009ApJ...703..441D,,15.07,14.49,14.08,2
8454,[MLV92] 165379,1360.24,0,2009ApJ...703..441D,,15.66,14.93,14.444,1
8471,[MLV92] 166158,1332.79,0,2009ApJ...703..441D,,14.956,14.48,14.09,1
8054,[MLV92] 166388,1991.29,0,2009ApJ...703..441D,,16.65,15.82,,1
8034,[MLV92] 166936,2005.75,0,2009ApJ...703..441D,,15.141,14.75,,1
8133,[MLV92] 168826,1882.95,0,2009ApJ...703..441D,,16.28,15.81,,1
7764,[MLV92] 173857,2310.76,0,2009ApJ...703..441D,,16.263,15.766,,1
8865,[MLV92] 176254,780.49,0,2009ApJ...703..441D,,16.4,15.53,15,1
7826,[MLV92] 179117,2218.46,0,2009ApJ...703..441D,,16.23,15.937,,1
1910,[MLV92] 187476,830.27,0,2009ApJ...703..441D,,14.11,13.75,13.44,8
8382,[MLV92] 202755,1299.37,0,2009ApJ...703..441D,,15.937,15.503,15.144,1
8591,[MLV92] 226763,779.23,0,2009ApJ...703..441D,,14.63,13.73,13.207,1
8570,[MLV92] 227815,827.54,0,2009ApJ...703..441D,,16.64,15.62,15,1
9340,[MLV92] 228438,1047.09,0,2009ApJ...703..441D,,16.57,15.7,15.123,1
8460,[MLV92] 228876,1075.28,0,2009ApJ...703..441D,,16.625,15.706,15.18,1
8542,[MLV92] 230953,895.47,0,2009ApJ...703..441D,,16.93,15.84,15.21,1
8610,[MLV92] 231602,711.84,0,2009ApJ...703..441D,,15.76,15.08,14.659,1
1476,[MLV92] 237751,1172.27,90,2009ApJ...703..441D,16.04,15.4,14.17,13.56,78
1477,[MLV92] 237751,1172.27,100,2009AJ....137...94C,16.04,15.4,14.17,13.56,78
1478,[MLV92] 237751,1172.27,100,2010MNRAS.402..803P,16.04,15.4,14.17,13.56,78
1479,[MLV92] 237751,1172.27,100,2016ApJ...824...42C,16.04,15.4,14.17,13.56,78
9326,[MLV92] 246150,943.89,0,2009ApJ...703..441D,,16.047,15.57,15.22,1
9337,[MLV92] 253496,993.51,0,2009ApJ...703..441D,,16.21,15.12,14.46,1
9341,[MLV92] 259367,1007.98,0,2009ApJ...703..441D,,15.53,15.06,14.702,1
8648,[MLV92] 271819,640.46,0,2009ApJ...703..441D,,15.73,15.07,14.67,1
9305,[MLV92] 298959,1020.54,0,2009ApJ...703..441D,,14.859,14.52,14.277,1
8810,[MLV92] 303865,700.35,0,2009ApJ...703..441D,,15.88,15.19,14.82,1
8896,[MLV92] 304147,647.34,0,2009ApJ...703..441D,,14.97,14.59,14.37,1
8818,[MLV92] 314115,793.96,0,2009ApJ...703..441D,,15.94,15.47,15.16,1
9437,[MLV92] 314852,1907.09,0,2009ApJ...703..441D,,14.645,14.126,13.714,1
9422,[MLV92] 327606,1849.15,0,2009ApJ...703..441D,,14.4,13.828,13.5,1
8782,[MLV92] 335393,1018.76,0,2009ApJ...703..441D,,16.12,15.601,15.272,1
8839,[MLV92] 349451,1129.95,0,2009ApJ...703..441D,,16.411,15.858,15.499,1
9442,[MLV92] 364913,2181.33,0,2009ApJ...703..441D,,15.88,15.19,14.74,1
9488,[MLV92] 369041,2561.39,0,2009ApJ...703..441D,,16.605,15.263,,1
6600,[MLV92] 371823,1326.25,0,2009ApJ...703..441D,,15.548,14.925,14.527,2
9493,[MLV92] 383361,2699.41,0,2009ApJ...703..441D,,15.241,14.829,14.522,1
9261,[MLV92] 424974,2382.87,0,2009ApJ...703..441D,,15.91,14.995,,1
9319,[MLV92] 428046,2523.79,0,2009ApJ...703..441D,,15.51,14.836,,1
9538,[MLV92] 431917,4393.3,0,2009ApJ...703..441D,,16.208,15.349,,1
9539,[MLV92] 432639,4447.99,0,2009ApJ...703..441D,,16.695,15.538,,1
9537,[MLV92] 433445,4357.39,0,2009ApJ...703..441D,,14.104,13.874,,1
2241,[MPV95] 2-021,1842.94,100,2012ApJ...761...26J,,,,,5
1421,[MS83] 17,2679.51,100,2006AJ....131.2478M,18.947,19.672,19.452,19.187,5
1422,[MS83] 17,2679.51,100,2012ApJ...759...11N,18.947,19.672,19.452,19.187,5
2608,[MSH2004] 12103,3043.75,90,2004yCat.2250....0S,,,20.6,,2
2607,[MSH2004] 21042,1157.35,0,2009ApJ...703..441D,,17.11,16.3,,4
2610,[MSH2004] 33174,754.01,0,2009ApJ...703..441D,,16.81,16.01,,3
9579,[MSL2009] J003948.86+405304.2,2418.84,75,2009ApJ...703..420M,,21.895,19.937,18.788,2
9553,[MSL2009] J004031.18+403659.5,2791.13,100,2009ApJ...703..420M,23.217,21.701,19.825,18.873,3
1993,[MSL2009] J004103.45+410456.4,1321.98,75,2009ApJ...703..420M,,21.855,19.972,19.052,5
9563,[MSL2009] J004249.83+412514.4,550.34,75,2009ApJ...703..420M,22.584,21.503,19.796,18.933,3
9564,[MSL2009] J004253.25+411613.9,100.77,75,2009ApJ...703..420M,19.145,21.891,19.98,19.079,3
9549,[MSL2009] J004329.38+413916.9,1478.71,75,2009ApJ...703..420M,23.029,21.628,19.823,18.839,2
9550,[MSL2009] J004336.68+410811.8,758.52,75,2009ApJ...703..420M,19.469,19.5,17.171,16.255,3
9581,[MSL2009] J004403.42+411623.5,891.8,75,2009ApJ...703..420M,21.801,21.79,19.889,18.84,3
9569,[MSL2009] J004410.06+411803.4,973.18,75,2009ApJ...703..420M,21.913,21.496,19.784,18.913,3
6955,[MSL2009] J004438.65+412934.1,1518.59,100,2006AJ....131.2478M,20.582,19.34,17.189,16.154,5
6956,[MSL2009] J004438.65+412934.1,1518.59,100,2009ApJ...703..420M,20.582,19.34,17.189,16.154,5
6645,[NVK2008] KW002,3027.91,100,2008ApJS..177..174N,20.796,,19.963,19.49,1
6646,[NVK2008] KW003,2189.94,100,2008ApJS..177..174N,19.53,,19.575,19.334,2
3958,[NVK2008] KW004,2959.69,100,2004PASJ...56.1025K,18.281,18.47,18.09,18.275,12
3959,[NVK2008] KW004,2959.69,100,2007PASP..119....7K,18.281,18.47,18.09,18.275,12
3960,[NVK2008] KW004,2959.69,100,2008ApJS..177..174N,18.281,18.47,18.09,18.275,12
3961,[NVK2008] KW004,2959.69,100,2009AJ....137...94C,18.281,18.47,18.09,18.275,12
3962,[NVK2008] KW004,2959.69,100,2010MNRAS.402..803P,18.281,18.47,18.09,18.275,12
6647,[NVK2008] KW005,3007.75,100,2008ApJS..177..174N,19.813,,19.467,18.777,1
6648,[NVK2008] KW007,2692.25,100,2008ApJS..177..174N,21.255,,20.513,20.003,2
6649,[NVK2008] KW009,2482.04,100,2008ApJS..177..174N,20.589,,20.62,19.783,2
6650,[NVK2008] KW010,2732.4,100,2008ApJS..177..174N,21.2,,20.114,19.521,2
6651,[NVK2008] KW014,2460.95,100,2008ApJS..177..174N,20.68,,20.357,19.89,2
6652,[NVK2008] KW015,2499.1,100,2008ApJS..177..174N,21.286,,20.441,20.075,2
3972,[NVK2008] KW017,2746.15,100,2004PASJ...56.1025K,18.518,18.5,18.47,18.198,25
3973,[NVK2008] KW017,2746.15,100,2008ApJS..177..174N,18.518,18.5,18.47,18.198,25
3974,[NVK2008] KW017,2746.15,100,2009AJ....137...94C,18.518,18.5,18.47,18.198,25
3975,[NVK2008] KW017,2746.15,100,2010MNRAS.402..803P,18.518,18.5,18.47,18.198,25
6653,[NVK2008] KW019,2973.71,100,2008ApJS..177..174N,20.603,,20.126,19.847,2
6654,[NVK2008] KW020,2942.74,100,2008ApJS..177..174N,21.204,,20.333,19.869,2
6655,[NVK2008] KW021,2483.19,100,2008ApJS..177..174N,19.368,,20.316,20.26,1
3976,[NVK2008] KW022,2777.54,100,2004PASJ...56.1025K,17.53,17.81,17.75,17.17,32
3977,[NVK2008] KW022,2777.54,100,2008ApJS..177..174N,17.53,17.81,17.75,17.17,32
3978,[NVK2008] KW022,2777.54,100,2009AJ....137...94C,17.53,17.81,17.75,17.17,32
3979,[NVK2008] KW022,2777.54,100,2010MNRAS.402..803P,17.53,17.81,17.75,17.17,32
6656,[NVK2008] KW023,2390.85,100,2008ApJS..177..174N,19.874,,19.538,19.091,2
6657,[NVK2008] KW024,3089.17,100,2008ApJS..177..174N,20.248,,20.335,20.073,2
6658,[NVK2008] KW025,2983.87,100,2008ApJS..177..174N,21.367,,19.894,19.21,2
6659,[NVK2008] KW027,3068.57,100,2008ApJS..177..174N,20.044,,19.865,19.551,2
3982,[NVK2008] KW028,3084.92,100,2004PASJ...56.1025K,18.23,18.06,17.59,17.1,20
3983,[NVK2008] KW028,3084.92,100,2008ApJS..177..174N,18.23,18.06,17.59,17.1,20
3984,[NVK2008] KW028,3084.92,100,2009AJ....137...94C,18.23,18.06,17.59,17.1,20
3985,[NVK2008] KW028,3084.92,100,2010MNRAS.402..803P,18.23,18.06,17.59,17.1,20
6660,[NVK2008] KW029,2740.06,100,2008ApJS..177..174N,19.543,,19.977,19.924,2
6661,[NVK2008] KW031,2718.83,100,2008ApJS..177..174N,18.054,,18.491,18.336,2
6662,[NVK2008] KW032,2811.9,100,2008ApJS..177..174N,19.791,,19.525,19.12,2
3990,[NVK2008] KW033,2840.68,100,2004PASJ...56.1025K,18.49,18.33,17.94,17.38,19
3991,[NVK2008] KW033,2840.68,100,2008ApJS..177..174N,18.49,18.33,17.94,17.38,19
3992,[NVK2008] KW033,2840.68,100,2009AJ....137...94C,18.49,18.33,17.94,17.38,19
3993,[NVK2008] KW033,2840.68,100,2010MNRAS.402..803P,18.49,18.33,17.94,17.38,19
6663,[NVK2008] KW034,2943.5,100,2008ApJS..177..174N,20.747,,20.542,20.19,2
6664,[NVK2008] KW035,2590.48,100,2008ApJS..177..174N,19.581,,19.522,19.265,2
6665,[NVK2008] KW036,2935.31,100,2008ApJS..177..174N,19.573,,19.476,18.925,1
6666,[NVK2008] KW038,3185.37,100,2008ApJS..177..174N,20.424,,19.816,19.461,2
1228,[NVK2008] KW040,3038.06,100,2008ApJS..177..174N,18.48,19,18.2,18.2,22
1229,[NVK2008] KW040,3038.06,100,2009AJ....137...94C,18.48,19,18.2,18.2,22
1230,[NVK2008] KW040,3038.06,100,2010MNRAS.402..803P,18.48,19,18.2,18.2,22
6667,[NVK2008] KW041,2821.68,100,2008ApJS..177..174N,20.251,,20.416,20.314,2
6668,[NVK2008] KW042,2839.62,100,2008ApJS..177..174N,20.261,,19.61,19.268,2
6669,[NVK2008] KW043,2782.55,100,2008ApJS..177..174N,19.572,,19.522,19.127,2
3996,[NVK2008] KW044,3156.41,100,2004PASJ...56.1025K,18.155,17.54,17.471,17.008,25
3997,[NVK2008] KW044,3156.41,100,2008ApJS..177..174N,18.155,17.54,17.471,17.008,25
3998,[NVK2008] KW044,3156.41,100,2009AJ....137...94C,18.155,17.54,17.471,17.008,25
3999,[NVK2008] KW044,3156.41,100,2010MNRAS.402..803P,18.155,17.54,17.471,17.008,25
6670,[NVK2008] KW045,2827.39,100,2008ApJS..177..174N,20.214,,19.783,19.464,2
6671,[NVK2008] KW046,2742.04,100,2008ApJS..177..174N,18.995,,19.162,18.934,2
6672,[NVK2008] KW047,3131.36,100,2008ApJS..177..174N,20.068,,19.921,19.624,1
604,[NVK2008] KW048,2865.72,100,2008ApJS..177..174N,16.55,16.9,16.58,16.31,46
605,[NVK2008] KW048,2865.72,100,2009AJ....137...94C,16.55,16.9,16.58,16.31,46
606,[NVK2008] KW048,2865.72,100,2010MNRAS.402..803P,16.55,16.9,16.58,16.31,46
6673,[NVK2008] KW049,3087.47,100,2008ApJS..177..174N,18.996,,19.198,19.04,2
6674,[NVK2008] KW050,2631.76,100,2008ApJS..177..174N,19.463,,19.818,19.761,2
6675,[NVK2008] KW051,2831.72,100,2008ApJS..177..174N,20.592,,20.514,20.392,2
6676,[NVK2008] KW052,2053.1,100,2008ApJS..177..174N,20.067,,20,19.655,1
6677,[NVK2008] KW055,3016.44,100,2008ApJS..177..174N,19.391,,19.615,19.497,2
6678,[NVK2008] KW056,2271.65,100,2008ApJS..177..174N,20.078,,19.331,18.911,2
6679,[NVK2008] KW059,2316.68,100,2008ApJS..177..174N,19.938,,19.254,18.818,2
6680,[NVK2008] KW060,1934.1,100,2008ApJS..177..174N,19.666,,19.837,19.814,1
6681,[NVK2008] KW061,3073.96,100,2008ApJS..177..174N,20.856,,19.951,19.397,2
6682,[NVK2008] KW064,2661.68,100,2008ApJS..177..174N,19.981,,19.901,19.619,2
6683,[NVK2008] KW065,3135.99,100,2008ApJS..177..174N,20.764,,20.458,20.207,2
6684,[NVK2008] KW066,3083.03,100,2008ApJS..177..174N,19.141,,19.549,19.411,2
6685,[NVK2008] KW067,2363.59,100,2008ApJS..177..174N,21.238,,20.276,19.484,2
6686,[NVK2008] KW068,3031.45,100,2008ApJS..177..174N,21.019,,20.416,20.143,2
6687,[NVK2008] KW069,2362.95,100,2008ApJS..177..174N,20.637,,20.088,19.6,1
6688,[NVK2008] KW070,2125.94,100,2008ApJS..177..174N,22.238,,20.322,19.563,2
6689,[NVK2008] KW071,2778.16,100,2008ApJS..177..174N,20.336,20.68,20.409,20.188,3
6690,[NVK2008] KW071,2778.16,100,2009AJ....138..770H,20.336,20.68,20.409,20.188,3
6691,[NVK2008] KW073,2330.38,100,2008ApJS..177..174N,19.99,,20.393,20.263,2
6692,[NVK2008] KW074,2583.65,100,2008ApJS..177..174N,20.702,,20.147,19.637,1
6693,[NVK2008] KW075,3018.11,100,2008ApJS..177..174N,20.749,,20.124,19.771,2
6694,[NVK2008] KW076,2733.91,100,2008ApJS..177..174N,21.083,,20.309,19.916,2
6695,[NVK2008] KW077,3111.46,100,2008ApJS..177..174N,21.261,,20.516,20.135,2
6696,[NVK2008] KW081,2168.14,100,2008ApJS..177..174N,21.165,,20.22,19.697,2
6697,[NVK2008] KW082,2307.23,100,2008ApJS..177..174N,19.394,,19.422,19.224,2
6698,[NVK2008] KW083,2508.05,100,2008ApJS..177..174N,17.664,,18.858,18.924,1
6699,[NVK2008] KW085,3094.9,100,2008ApJS..177..174N,20.88,,20.587,20.15,2
6700,[NVK2008] KW087,2325.29,100,2008ApJS..177..174N,21.49,,20.437,19.909,2
6701,[NVK2008] KW090,2757.92,100,2008ApJS..177..174N,19.723,,19.979,19.801,1
6702,[NVK2008] KW093,2460.11,100,2008ApJS..177..174N,16.951,,17.036,16.629,1
6703,[NVK2008] KW094,2214.65,100,2008ApJS..177..174N,20.646,,20.148,19.49,2
6704,[NVK2008] KW096,1898.01,100,2008ApJS..177..174N,21.368,,20.596,19.926,2
5753,[NVK2008] KW097,2654.25,75,2007AJ....134..706K,20.039,,19.56,19.16,4
5754,[NVK2008] KW097,2654.25,100,2008ApJS..177..174N,20.039,,19.56,19.16,4
6705,[NVK2008] KW098,2744.87,100,2008ApJS..177..174N,19.719,,20.461,20.372,1
6706,[NVK2008] KW099,2091.7,100,2008ApJS..177..174N,20.743,,19.733,19.207,2
4015,[NVK2008] KW100,2593.7,100,2004PASJ...56.1025K,18.11,18.1,17.49,17.06,35
4016,[NVK2008] KW100,2593.7,100,2008ApJS..177..174N,18.11,18.1,17.49,17.06,35
4017,[NVK2008] KW100,2593.7,100,2009AJ....137...94C,18.11,18.1,17.49,17.06,35
