N,Identifier,dist(asec),prob. member,link ref,Mag U,Mag B,Mag V,Mag R,"#ref 
1850 - 2019"
6627,[DMM2009] J004357.96+411507.8,830.98,0,2009ApJ...703..441D,,16.57,15.77,,2
9300,[DMM2009] J004358.26+405306.1,1614.94,0,2009ApJ...703..441D,,18.67,18.08,,1
9301,[DMM2009] J004358.68+405547.2,1481.8,0,2009ApJ...703..441D,,17.96,17.05,,1
9302,[DMM2009] J004358.78+405417.3,1557.52,0,2009ApJ...703..441D,,17.97,17.28,,1
9303,[DMM2009] J004358.95+410514.4,1066.11,0,2009ApJ...703..441D,,19.07,18.44,,1
9304,[DMM2009] J004359.01+420003.2,2765.31,0,2009ApJ...703..441D,,18.52,17.42,,1
9306,[DMM2009] J004359.54+410043.6,1255.29,0,2009ApJ...703..441D,,16.91,15.81,,1
9307,[DMM2009] J004359.91+420551.4,3101.67,0,2009ApJ...703..441D,,18.7,17.92,,1
9308,[DMM2009] J004359.96+411412.3,860.61,0,2009ApJ...703..441D,,17.43,16.32,,1
9309,[DMM2009] J004400.68+412113.3,912.74,0,2009ApJ...703..441D,,16.24,15.31,,1
9310,[DMM2009] J004400.76+415349.7,2419.17,0,2009ApJ...703..441D,,17.01,16.46,,1
9311,[DMM2009] J004400.99+420240.1,2921.61,0,2009ApJ...703..441D,,17.12,16.51,,1
9312,[DMM2009] J004401.92+412539.7,1044.14,0,2009ApJ...703..441D,,17,16.15,,1
9313,[DMM2009] J004401.95+420454.6,3053.43,0,2009ApJ...703..441D,,16.53,15.86,,1
9314,[DMM2009] J004403.18+412501.0,1035.59,0,2009ApJ...703..441D,,18.52,17.72,,1
9315,[DMM2009] J004403.36+412241.8,973.48,0,2009ApJ...703..441D,,16.13,15.4,,1
9316,[DMM2009] J004404.34+420618.4,3141.42,0,2009ApJ...703..441D,,19.6,18.36,,1
9317,[DMM2009] J004404.61+420205.2,2900.67,0,2009ApJ...703..441D,,17.1,16.36,,1
9318,[DMM2009] J004404.70+412043.5,946.58,0,2009ApJ...703..441D,,17.56,16.73,,1
9320,[DMM2009] J004406.03+420359.4,3014.13,0,2009ApJ...703..441D,,18.21,17.23,,1
9321,[DMM2009] J004406.32+420131.3,2874.49,75,2009ApJ...703..441D,16.2,16.06,15.6,15.3,3
9322,[DMM2009] J004406.32+420131.3,2874.49,100,2014ApJ...790...48H,16.2,16.06,15.6,15.3,3
9323,[DMM2009] J004406.32+420131.3,2874.49,100,2016ApJ...825...50G,16.2,16.06,15.6,15.3,3
9324,[DMM2009] J004406.41+420544.4,3115.57,0,2009ApJ...703..441D,,18.16,17.35,,1
9325,[DMM2009] J004407.15+412551.4,1099.96,0,2009ApJ...703..441D,,19.26,18.28,,1
9327,[DMM2009] J004407.97+420542.0,3118.53,0,2009ApJ...703..441D,,16.72,15.85,,1
9328,[DMM2009] J004408.89+411417.7,959.91,0,2009ApJ...703..441D,,19.08,18.24,,1
9329,[DMM2009] J004409.10+420606.9,3146.06,0,2009ApJ...703..441D,,16.78,16.09,,1
9332,[DMM2009] J004409.27+412404.1,1068.69,0,2009ApJ...703..441D,,18.32,17.78,,1
9335,[DMM2009] J004411.17+412620.9,1153.9,0,2009ApJ...703..441D,,17.76,17.05,,1
9336,[DMM2009] J004412.01+412417.6,1102.21,0,2009ApJ...703..441D,,15.65,15.13,,1
9338,[DMM2009] J004412.58+420611.7,3162.57,0,2009ApJ...703..441D,,18.14,17.23,,1
9339,[DMM2009] J004413.26+420323.0,3005.4,0,2009ApJ...703..441D,,18.07,16.73,,1
9343,[DMM2009] J004415.28+420636.6,3195.76,0,2009ApJ...703..441D,,17.53,16.28,,1
